,0
0,Rock
1,Rock
2,Rock
3,Rock
4,"Rock, Pop"
5,Funk / Soul
6,Rock
7,Rock
8,"Rock, Blues"
9,Rock
10,Rock
11,Jazz
12,Rock
13,Rock
14,"Rock, Blues"
15,Rock
16,Rock
17,Rock
18,"Jazz, Rock, Blues, Folk, World, & Country"
19,"Funk / Soul, Pop"
20,Rock
21,Blues
22,Rock
23,Funk / Soul
24,Funk / Soul
25,Rock
26,Rock
27,Rock
28,Rock
29,Pop
30,"Rock, Folk, World, & Country"
31,Rock
32,Rock
33,Rock
34,Rock
35,"Rock, Pop"
36,Rock
37,"Folk, World, & Country"
38,Rock
39,Rock
40,Rock
41,Rock
42,Rock
43,Rock
44,"Classical, Stage & Screen"
45,Reggae
46,Jazz
47,Hip Hop
48,"Rock, Blues"
49,"Rock, Blues"
50,Rock
51,Funk / Soul
52,Rock
53,"Jazz, Funk / Soul"
54,"Rock, Blues"
55,Rock
56,Funk / Soul
57,"Rock, Funk / Soul, Pop"
58,Rock
59,"Rock, Blues"
60,Funk / Soul
61,Rock
62,"Electronic, Rock"
63,Rock
64,"Rock, Funk / Soul, Pop"
65,"Jazz, Rock, Funk / Soul, Folk, World, & Country"
66,"Electronic, Rock"
67,"Funk / Soul, Pop"
68,Rock
69,Rock
70,"Jazz, Rock, Funk / Soul, Pop, Folk, World, & Country"
71,"Funk / Soul, Stage & Screen"
72,Rock
73,Rock
74,Funk / Soul
75,"Electronic, Rock, Funk / Soul, Stage & Screen"
76,Rock
77,Funk / Soul
78,Rock
79,Rock
80,Rock
81,Rock
82,Rock
83,Funk / Soul
84,Funk / Soul
85,Rock
86,Rock
87,"Folk, World, & Country"
88,"Rock, Funk / Soul"
89,Funk / Soul
90,Rock
91,Rock
92,"Rock, Reggae"
93,"Folk, World, & Country"
94,Jazz
95,Rock
96,"Folk, World, & Country"
97,Rock
98,Funk / Soul
99,Rock
100,"Jazz, Pop"
101,"Rock, Blues"
102,Jazz
103,Rock
104,"Funk / Soul, Folk, World, & Country"
105,Rock
106,"Latin, Funk / Soul"
107,Rock
108,Rock
109,Rock
110,Rock
111,Rock
112,Rock
113,Rock
114,Rock
115,Rock
116,Rock
117,Hip Hop
118,"Funk / Soul, Blues"
119,Rock
