,0
0,"Rock & Roll, Psychedelic Rock"
1,"Pop Rock, Psychedelic Rock"
2,"Psychedelic Rock, Pop Rock"
3,"Folk Rock, Blues Rock"
4,Pop Rock
5,Soul
6,"Blues Rock, Rock & Roll, Classic Rock"
7,"Punk, New Wave"
8,"Folk Rock, Rhythm & Blues"
9,"Rock & Roll, Pop Rock, Psychedelic Rock, Experimental"
10,Rock & Roll
11,Modal
12,"Garage Rock, Art Rock, Experimental"
13,"Psychedelic Rock, Classic Rock, Pop Rock"
14,"Blues Rock, Psychedelic Rock"
15,"Folk Rock, Acoustic, Ballad"
16,"Alternative Rock, Grunge"
17,Pop Rock
18,"Acoustic, Classic Rock, Free Improvisation"
19,Disco
20,Rock & Roll
21,Delta Blues
22,Pop Rock
23,Soul
24,"Rhythm & Blues, Soul"
25,Pop Rock
26,"Alternative Rock, Pop Rock"
27,"Hard Rock, Mod, Prog Rock, Psychedelic Rock"
28,"Blues Rock, Hard Rock"
29,"Acoustic, Ballad, Folk"
30,"Folk Rock, Folk"
31,"Blues Rock, Hard Rock"
32,"Rock & Roll, Punk"
33,"Folk Rock, Acoustic, Blues Rock"
34,"Classic Rock, Glam"
35,"Folk Rock, Soft Rock"
36,Classic Rock
37,Folk
38,"Beat, Rock & Roll"
39,"Folk Rock, Psychedelic Rock"
40,Punk
41,Psychedelic Rock
42,Prog Rock
43,Art Rock
44,"Soundtrack, Modern Classical, Contemporary, Score"
45,"Reggae, Roots Reggae"
46,"Free Jazz, Hard Bop, Modal"
47,Conscious
48,Blues Rock
49,"Rock & Roll, Rhythm & Blues"
50,"Folk Rock, Classic Rock"
51,Soul
52,"Beat, Rock & Roll"
53,"Rhythm & Blues, Big Band, Soul, Soul-Jazz"
54,"Electric Blues, Psychedelic Rock"
55,"Rock & Roll, Rockabilly"
56,"Soul, Disco"
57,"Blues Rock, Southern Rock, Classic Rock"
58,None
59,"Dialogue, Field Recording, Avantgarde, Electric Blues, Psychedelic Rock, Experimental"
60,"Rhythm & Blues, Funk"
61,"Hard Rock, Heavy Metal"
62,"Pop Rock, Synth-pop, Alternative Rock, Arena Rock"
63,Classic Rock
64,"Doo Wop, Pop Rock, Ballad, Rhythm & Blues"
65,"Folk Rock, Rhythm & Blues, Classic Rock, Contemporary Jazz"
66,"Alternative Rock, IDM, Experimental"
67,"Disco, Soul, Ballad"
68,"Hard Rock, Classic Rock, Blues Rock"
69,Pop Rock
70,"Folk Rock, Pop Rock, African, Afrobeat, Zydeco, Funk, Rhythm & Blues"
71,"Soundtrack, Soul"
72,Classic Rock
73,"Rock & Roll, Country Rock"
74,"Soul, Funk, Disco"
75,"Pop Rock, Funk, Soundtrack, Synth-pop"
76,Hard Rock
77,Soul
78,"Blues Rock, Classic Rock, Hard Rock"
79,Pop Rock
80,Punk
81,"Folk Rock, Country Rock, Classic Rock"
82,"Psychedelic Rock, Electric Blues"
83,Soul
84,Soul
85,Pop Rock
86,"Alternative Rock, Prog Rock"
87,Country
88,"Pop Rock, Soul"
89,"Soul, Funk"
90,"Pop Rock, Classic Rock"
91,Rock & Roll
92,"Ska, Reggae-Pop"
93,Country
94,Fusion
95,Psychedelic Rock
96,Folk
97,New Wave
98,"Rhythm & Blues, Funk"
99,Psychedelic Rock
100,"Big Band, Ballad"
101,"Blues Rock, Electric Blues"
102,Hard Bop
103,"Folk Rock, Acoustic, Soft Rock"
104,"Country, Rhythm & Blues"
105,"Rock & Roll, Punk"
106,"Soul, Rhythm & Blues, Gospel, Cha-Cha"
107,"Classic Rock, Glam"
108,"Blues Rock, Pop Rock"
109,"Art Rock, Classic Rock"
110,Alternative Rock
111,"Folk Rock, Pop Rock"
112,"Soft Rock, Pop Rock"
113,"Psychedelic Rock, Blues Rock"
114,"Psychedelic Rock, Mod"
115,"Blues Rock, Rock & Roll"
116,Blues Rock
117,None
118,"Rhythm & Blues, Soul"
119,"Folk Rock, Country Rock"
120,"Funk, Psychedelic, Disco"
121,?
122,None
123,"Folk Rock, Psychedelic Rock"
124,Blues Rock
125,Roots Reggae
126,"Folk Rock, Psychedelic Rock"
127,"Garage Rock, Hard Rock, Punk"
128,"New Wave, Art Rock, Funk"
129,"New Wave, Punk"
130,"Hard Rock, Heavy Metal"
131,?
132,None
133,Thug Rap
134,Alternative Rock
135,Classic Rock
136,Indie Rock
137,Gangsta
138,"Bayou Funk, Soul"
139,"New Wave, Pop Rock, Punk, Disco"
140,Chicago Blues
141,Pop Rock
142,"Soul-Jazz, Louisiana Blues, Fusion, Bayou Funk"
143,Gangsta
144,"Jazz-Rock, Classic Rock"
145,"Folk Rock, Psychedelic Rock"
146,Classic Rock
147,Classic Rock
148,"Afro-Cuban, Psychedelic Rock"
149,Pop Rock
150,Indie Rock
151,"New Wave, Punk, Mod"
152,Conscious
153,Chicago Blues
154,"Alternative Rock, New Wave"
155,"Alternative Rock, Pop Rap, Psychedelic"
156,"Post-Punk, New Wave"
157,"Pop Rock, Classic Rock"
158,"Hard Rock, Glam"
159,"Glam, Classic Rock"
160,"Rhythm & Blues, Soul"
161,Alternative Rock
162,None
163,"Soft Rock, Pop Rock"
164,Soul
165,"Alternative Rock, New Wave"
166,"Thrash, Speed Metal"
167,"New Wave, Pop Rock"
168,"Reggae, Roots Reggae"
169,"Classic Rock, Blues Rock, Hard Rock"
170,"Psychedelic Rock, Folk Rock, Country Rock, Pop Rock"
171,Pop Rock
172,"Power Pop, Pop Rock, Prog Rock"
173,Folk Rock
174,"Pop Rock, Vocal"
175,"Hard Rock, Classic Rock"
176,P.Funk
177,"Rhythm & Blues, Soul, Funk"
178,"Europop, Synth-pop, Disco"
179,"Pop Rock, Rhythm & Blues, Rock & Roll"
180,"Reggae, Roots Reggae"
181,"Folk Rock, Pop Rock"
182,Country
183,Synth-pop
184,"Garage Rock, Punk"
185,"Rhythm & Blues, Funk"
186,"Art Rock, Pop Rock, Synth-pop, Funk"
187,Country Rock
188,"Acid Rock, Psychedelic Rock"
189,"Country, Soul"
190,"Garage Rock, Punk"
191,Country Rock
192,"Alternative Rock, Pop Punk, Punk"
193,Glam
194,?
195,?
196,Alternative Rock
197,Chicago Blues
198,Indie Rock
199,Hard Rock
200,Industrial
201,"Folk Rock, Pop Rock"
202,"Pop Rock, Ballad, Funk, Soul"
203,"Blues Rock, Folk Rock"
204,"Blues Rock, Psychedelic Rock, Classic Rock"
205,None
206,"Fusion, Hard Rock, Psychedelic Rock"
207,"Folk Rock, Pop Rock"
208,Grunge
209,"Folk Rock, Country Rock, Classic Rock"
210,"Classic Rock, Prog Rock"
211,"Alternative Rock, Indie Rock"
212,Classic Rock
213,"Rhythm & Blues, Bayou Funk, Soul"
214,Glam
215,"Rhythm & Blues, Rock & Roll"
216,"Rhythm & Blues, Soul"
217,Indie Rock
218,None
219,"Bayou Funk, Soul, Funk"
220,"Alternative Rock, Shoegaze"
221,Piano Blues
222,Pop Rock
223,"Soft Rock, Ballad"
224,"Pop Rock, Punk"
225,Acoustic
226,Indie Rock
227,None
228,"Hard Rock, Blues Rock"
229,"Blues Rock, Pop Rock"
230,"Hard Rock, Pop Rock, Prog Rock"
231,"Rock & Roll, Pop Rock"
232,"Folk Rock, Garage Rock, Pop Rock"
233,"Folk Rock, Classic Rock"
234,None
235,?
236,Mod
237,None
238,Synth-pop
239,Classic Rock
240,"Alternative Rock, Power Pop, Punk, Indie Rock"
241,None
242,"Blues Rock, Heavy Metal"
243,"Pop Rap, Hardcore Hip-Hop, Horrorcore"
244,"Country Blues, Rock & Roll, Rhythm & Blues"
245,"Musique Concr?te, Avantgarde, Symphonic Rock, Rhythm & Blues, Psychedelic Rock, Experimental, Parody"
246,"Folk Rock, Country Rock, Psychedelic Rock, Experimental"
